epoch,accuracy,loss,val_accuracy,val_loss
0,0.866173267364502,0.3505241572856903,0.9988992214202881,0.07602263987064362
1,0.9156934022903442,0.24057860672473907,0.9909490942955017,0.07408896088600159
2,0.931043803691864,0.20204409956932068,0.9909490942955017,0.0605366975069046
3,0.9357655048370361,0.18352685868740082,0.9852005839347839,0.08173184841871262
4,0.9433202147483826,0.16400472819805145,0.9902152419090271,0.06220762059092522
5,0.9482442736625671,0.14897112548351288,0.9944961071014404,0.045101430267095566
6,0.9535731077194214,0.13820010423660278,0.988869845867157,0.07923374325037003
7,0.9577358961105347,0.12453659623861313,0.9926614761352539,0.054210565984249115
8,0.9605304002761841,0.11894895881414413,0.9941291809082031,0.0533980168402195
9,0.9635175466537476,0.11070673167705536,0.990092933177948,0.06940353661775589
10,0.9647510051727295,0.106696717441082,0.9933953285217285,0.04970657080411911
11,0.9674683809280396,0.10065267235040665,0.9918052554130554,0.07842995971441269
12,0.9694919586181641,0.09445808082818985,0.9908267855644226,0.07906970381736755
13,0.971342146396637,0.08900275081396103,0.9958415031433105,0.04480729624629021
14,0.9725562930107117,0.08630218356847763,0.996330738067627,0.04984429478645325
15,0.9733175039291382,0.08509410172700882,0.9979207515716553,0.028649426996707916
16,0.9740402698516846,0.08242498338222504,0.9957191944122314,0.05146484449505806
17,0.9751194715499878,0.0791657418012619,0.9936399459838867,0.07093501091003418
18,0.9759096503257751,0.07649409770965576,0.9981653690338135,0.028111958876252174
19,0.97826087474823,0.06994865834712982,0.9924168586730957,0.08708017319440842
