epoch,accuracy,loss,val_accuracy,val_loss
0,0.8792981505393982,0.31197571754455566,0.7022058963775635,1.8435533046722412
1,0.9265683889389038,0.20528358221054077,0.7557772994041443,2.2506537437438965
2,0.9409803152084351,0.17229041457176208,0.7710084319114685,2.4362971782684326
3,0.947386622428894,0.15519966185092926,0.7484243512153625,2.493619680404663
4,0.9544380903244019,0.13925544917583466,0.7473739385604858,2.605072021484375
5,0.9591451287269592,0.12650719285011292,0.7673319578170776,2.372844696044922
6,0.9625890254974365,0.11317918449640274,0.7725840210914612,2.2893545627593994
7,0.9669507741928101,0.10340102016925812,0.756827712059021,2.5984385013580322
8,0.9703401923179626,0.09556601196527481,0.7584033608436584,2.3827292919158936
9,0.9723484516143799,0.08752436190843582,0.7678571343421936,2.25872802734375
10,0.9749654531478882,0.08251802623271942,0.7815126180648804,2.006890296936035
11,0.9759741425514221,0.07680731266736984,0.756827712059021,2.1711230278015137
12,0.9776279330253601,0.07338572293519974,0.7736344337463379,1.8954763412475586
13,0.9788637757301331,0.06926663964986801,0.7615545988082886,2.147742986679077
14,0.9796543121337891,0.06548179686069489,0.7731092572212219,1.7657470703125
15,0.9805266857147217,0.06441447138786316,0.7683823704719543,1.8503029346466064
16,0.9817079901695251,0.06096544861793518,0.769432783126831,1.6123073101043701
17,0.981789767742157,0.06151944026350975,0.7815126180648804,1.5723820924758911
18,0.9830074310302734,0.05643711984157562,0.7615545988082886,1.7516120672225952
19,0.9828256964683533,0.05542362853884697,0.7605041861534119,1.6628528833389282
