epoch,accuracy,loss,val_accuracy,val_loss
0,0.8893636465072632,0.3081173002719879,0.0,3.192723274230957
1,0.9272727370262146,0.21290330588817596,0.0010245901066809893,3.514259099960327
2,0.9368818402290344,0.18235419690608978,0.0005122950533404946,2.4975452423095703
3,0.9425908923149109,0.16659705340862274,0.0,2.4455087184906006
4,0.9493545293807983,0.14931151270866394,0.0015368852764368057,1.6853573322296143
5,0.9526181817054749,0.13831689953804016,0.006659836042672396,1.5533804893493652
6,0.9577090740203857,0.12584923207759857,0.040471311658620834,1.2575440406799316
7,0.9607454538345337,0.11820686608552933,0.042520493268966675,1.2247451543807983
8,0.9632999897003174,0.1108056828379631,0.3744876980781555,0.8421692848205566
9,0.966381847858429,0.10309764742851257,0.3294057250022888,0.8941347599029541
10,0.9685909152030945,0.09745283424854279,0.27305328845977783,0.9622406959533691
11,0.9708818197250366,0.09383399039506912,0.5153688788414001,0.7815073132514954
12,0.9728909134864807,0.08775372058153152,0.5035860538482666,0.7979313731193542
13,0.973836362361908,0.08358738571405411,0.5056352615356445,0.8134941458702087
14,0.9764363765716553,0.0763985812664032,0.5353483557701111,0.7622436285018921
15,0.9772727489471436,0.0754827931523323,0.5097336173057556,0.8127256631851196
16,0.9777272939682007,0.07210353761911392,0.5199795365333557,0.817967414855957
17,0.9789636135101318,0.06789372116327286,0.7843237519264221,0.5671758651733398
18,0.9799090623855591,0.06420450657606125,0.8647540807723999,0.43553847074508667
19,0.9803363680839539,0.0657617598772049,0.90625,0.36641767621040344
