epoch,accuracy,loss,val_accuracy,val_loss
0,0.8829454779624939,0.3203054368495941,0.8112001419067383,0.4688566327095032
1,0.9366650581359863,0.20754365622997284,0.6978724598884583,0.5798865556716919
2,0.9461861848831177,0.1706499606370926,0.703920841217041,0.6226009726524353
3,0.9510073065757751,0.14772367477416992,0.7080591917037964,0.6667132377624512
4,0.955007016658783,0.13677743077278137,0.7289632558822632,0.6508250832557678
5,0.9593029618263245,0.12461629509925842,0.7538731098175049,0.6289735436439514
6,0.9636931419372559,0.11208661645650864,0.7782788872718811,0.6073237657546997
7,0.9645954370498657,0.1079646497964859,0.7805072069168091,0.5921276807785034
8,0.9667501449584961,0.10514438152313232,0.7438720464706421,0.6221020817756653
9,0.968622088432312,0.09854621440172195,0.7685695886611938,0.5901218056678772
10,0.9689452648162842,0.09737459570169449,0.7536608576774597,0.5809810161590576
11,0.9710191488265991,0.09245514869689941,0.736762523651123,0.624772310256958
12,0.9714635610580444,0.0877934992313385,0.7303162217140198,0.607883870601654
13,0.9735105633735657,0.08621878921985626,0.7769524455070496,0.5398853421211243
14,0.973954975605011,0.08127734810113907,0.7340566515922546,0.6002545952796936
15,0.9752747416496277,0.07780066877603531,0.7826560139656067,0.5410212278366089
16,0.9758538007736206,0.07909476011991501,0.7138953804969788,0.6001438498497009
17,0.9755575060844421,0.07686764746904373,0.7292020320892334,0.5777990221977234
18,0.9772947430610657,0.07302146404981613,0.729653000831604,0.5652039051055908
19,0.9775910377502441,0.07103044539690018,0.7751485705375671,0.5168983340263367
